employeeid,empname,email,phonenumber,bloodgroup,dateofbirth,gender,department,currentdesignationid,isactive,category,pwd_exs,state,createddate,modifieddate
EMP258749,Rahul Iyer,rahuliyer63@iitpkd.ac.in,9236001213,O-,1989-07-16,Female,Electrical Engineering,2,FALSE,ST,TRUE,Uttar Pradesh,2025-11-29 12:35:23,2025-11-29 12:35:23
EMP251424,Sneha Menon,snehamenon61@iitpkd.ac.in,9357508230,AB-,1980-04-11,Male,Electrical Engineering,3,TRUE,GEN,FALSE,Chhattisgarh,2025-11-29 12:35:23,2025-11-29 12:35:23
EMP251230,Sneha Iyer,snehaiyer98@iitpkd.ac.in,9629212641,B-,1984-11-22,Female,Chemistry,20,FALSE,SC,TRUE,Goa,2025-11-29 12:35:23,2025-11-29 12:35:23
EMP258157,Deepa Das,deepadas95@iitpkd.ac.in,9146426926,AB-,1984-11-14,Male,Chemical Engineering,20,TRUE,GEN,FALSE,West Bengal,2025-11-29 12:35:23,2025-11-29 12:35:23
EMP254300,Arjun Mehta,arjunmehta39@iitpkd.ac.in,9721668746,B-,1993-09-21,Transgender,Physics,19,FALSE,ST,FALSE,Delhi,2025-11-29 12:35:23,2025-11-29 12:35:23
EMP257726,Sneha Raman,sneharaman13@iitpkd.ac.in,9400356537,AB+,1983-03-10,Transgender,Civil Engineering,10,FALSE,EWS,FALSE,Haryana,2025-11-29 12:35:23,2025-11-29 12:35:23
EMP254495,Manoj Gopal,manojgopal26@iitpkd.ac.in,9834823621,B-,1991-02-09,Male,Computer Science and Engineering,30,FALSE,EWS,FALSE,Odisha,2025-11-29 12:35:23,2025-11-29 12:35:23
EMP256027,Rahul Sharma,rahulsharma27@iitpkd.ac.in,9103035243,AB-,1971-04-26,Transgender,Chemical Engineering,4,TRUE,OBC,FALSE,Gujarat,2025-11-29 12:35:23,2025-11-29 12:35:23
EMP255505,Divya Chakraborty,divyachakraborty36@iitpkd.ac.in,9827403754,AB-,1986-02-18,Female,Chemical Engineering,7,FALSE,SC,TRUE,Goa,2025-11-29 12:35:23,2025-11-29 12:35:23
EMP254281,Naveen Gopal,naveengopal97@iitpkd.ac.in,9466868400,AB-,1987-11-06,Female,Physics,22,TRUE,EWS,TRUE,Uttar Pradesh,2025-11-29 12:35:23,2025-11-29 12:35:23
EMP257081,Rohit Menon,rohitmenon30@iitpkd.ac.in,9864585406,AB+,1979-11-18,Transgender,Civil Engineering,7,FALSE,GEN,FALSE,Goa,2025-11-29 12:35:23,2025-11-29 12:35:23
EMP253757,Divya Gupta,divyagupta62@iitpkd.ac.in,9526500273,A+,1985-09-15,Female,Humanities and Social Sciences,28,FALSE,OBC,FALSE,Assam,2025-11-29 12:35:23,2025-11-29 12:35:23
EMP252522,Sameer Sharma,sameersharma52@iitpkd.ac.in,9463310998,A-,1977-06-18,Female,Physics,7,FALSE,SC,FALSE,Goa,2025-11-29 12:35:23,2025-11-29 12:35:23
EMP252844,Isha Kulkarni,ishakulkarni62@iitpkd.ac.in,9811979813,B+,1983-06-27,Male,Mechanical Engineering,11,FALSE,OBC,FALSE,Maharashtra,2025-11-29 12:35:23,2025-11-29 12:35:23
EMP253900,Arjun Iyer,arjuniyer79@iitpkd.ac.in,9740862388,O-,1985-07-03,Male,Computer Science and Engineering,24,FALSE,EWS,TRUE,Kerala,2025-11-29 12:35:23,2025-11-29 12:35:23
EMP258523,Sameer Verma,sameerverma46@iitpkd.ac.in,9376697223,O-,1973-04-11,Female,Electrical Engineering,22,FALSE,GEN,FALSE,Gujarat,2025-11-29 12:35:23,2025-11-29 12:35:23
EMP251199,Manoj Krishnan,manojkrishnan45@iitpkd.ac.in,9373444484,A-,1984-05-13,Male,Computer Science and Engineering,8,TRUE,SC,TRUE,Bihar,2025-11-29 12:35:23,2025-11-29 12:35:23
EMP253025,Naveen Gopal,naveengopal34@iitpkd.ac.in,9551796420,O+,1972-04-27,Transgender,Humanities and Social Sciences,29,FALSE,EWS,FALSE,Chhattisgarh,2025-11-29 12:35:23,2025-11-29 12:35:23
EMP253627,Deepa Mehta,deepamehta63@iitpkd.ac.in,9954192454,O-,1982-04-03,Female,Humanities and Social Sciences,23,FALSE,EWS,TRUE,Delhi,2025-11-29 12:35:23,2025-11-29 12:35:23
EMP258199,Nisha Mehta,nishamehta62@iitpkd.ac.in,9471680275,AB-,1988-09-22,Male,Computer Science and Engineering,3,TRUE,GEN,TRUE,Gujarat,2025-11-29 12:35:23,2025-11-29 12:35:23
